
2024/09/26 (17:26:09) | ===> btop++ v.1.4.0
2024/09/26 (17:26:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (15:52:04) | ===> btop++ v.1.4.0
2024/10/08 (15:52:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (08:11:31) | ===> btop++ v.1.4.0
2024/10/09 (08:11:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (11:40:18) | ===> btop++ v.1.4.0
2024/10/09 (11:40:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (14:58:41) | ===> btop++ v.1.4.0
2024/10/12 (14:58:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (10:25:49) | ===> btop++ v.1.4.0
2024/10/15 (10:25:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (21:39:53) | ===> btop++ v.1.4.0
2024/10/22 (21:39:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (11:38:36) | ===> btop++ v.1.4.0
2024/10/27 (11:38:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (14:15:50) | ===> btop++ v.1.4.0
2024/10/30 (14:15:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (21:00:00) | ===> btop++ v.1.4.0
2024/11/18 (21:00:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (21:00:50) | ===> btop++ v.1.4.0
2024/11/18 (21:00:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (22:14:16) | ===> btop++ v.1.4.0
2024/11/19 (22:14:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (22:44:04) | ===> btop++ v.1.4.0
2024/11/19 (22:44:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (07:05:45) | ===> btop++ v.1.4.0
2024/11/23 (07:05:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (07:15:07) | ===> btop++ v.1.4.0
2024/11/23 (07:15:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (07:15:28) | ===> btop++ v.1.4.0
2024/11/23 (07:15:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (08:20:20) | ===> btop++ v.1.4.0
2024/11/24 (08:20:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (14:22:19) | ===> btop++ v.1.4.0
2024/11/24 (14:22:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (17:32:33) | ===> btop++ v.1.4.0
2024/11/28 (17:32:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (16:26:52) | ===> btop++ v.1.4.0
2024/11/29 (16:26:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (17:09:35) | ===> btop++ v.1.4.0
2024/12/13 (17:09:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (08:34:24) | ===> btop++ v.1.4.0
2024/12/18 (08:34:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (11:27:51) | ===> btop++ v.1.4.0
2025/01/01 (11:27:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (12:24:04) | ===> btop++ v.1.4.0
2025/01/01 (12:24:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (17:32:29) | ===> btop++ v.1.4.0
2025/01/01 (17:32:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (07:38:54) | ===> btop++ v.1.4.0
2025/01/06 (07:38:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (13:33:06) | ===> btop++ v.1.4.0
2025/01/06 (13:33:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (16:54:08) | ===> btop++ v.1.4.0
2025/01/09 (16:54:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (16:54:39) | ===> btop++ v.1.4.0
2025/01/09 (16:54:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (19:12:30) | ===> btop++ v.1.4.0
2025/01/10 (19:12:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (15:01:58) | ===> btop++ v.1.4.0
2025/01/11 (15:01:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (16:41:55) | ===> btop++ v.1.4.0
2025/01/12 (16:41:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (22:04:41) | ===> btop++ v.1.4.0
2025/01/13 (22:04:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (11:45:57) | ===> btop++ v.1.4.0
2025/01/16 (11:45:57) | WARNING: Intel GPU: Failed to initialize PMU
